2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:08:31 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:08:36 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:08:36 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:08:36 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:08:36 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:08:38 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:08:38 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:08:38 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:08:38 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:09:31 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:09:31 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:09:31 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:09:31 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 99]


2017-10-24 03:09:31 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 149]


2017-10-24 03:09:31 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:10:12 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:10:12 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:10:12 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:10:12 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 149]


2017-10-24 03:10:12 Notice: Notice (8): Undefined variable: patient_search_result in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 174]


2017-10-24 03:10:49 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:10:49 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


